client,고객
briefing,브리핑·요약 보고
investigatory,조사의·연구의
summary,요약
defeat,이기다·물리치다
former,이전의
lost and found,분실물 보관소
requirement,조건
unexpected,생각지 않은·뜻밖의
twist,예상 밖의 전개·비틀기
guideline,지침
outline,윤곽을 그리다
organizer,주최자·조직자
detail,세부 사항
finalize,마무리 짓다
city council,시의회
consensus,합의
generalize,일반화하다
demand,수요·요구
manufacture,제조하다
photography,사진 촬영·사진술
competition,대회
up to,최고 ~·~까지
extensive,폭넓은·광범위한
application,지원(서)
master's,석사 학위
due,마감인·~하기로 되어 있는
shift,바뀌다·달라지다
radicalize,급진적으로 하다
radical,급진주의자·급진적인
prestigious,명성 높은·일류의
press,(신문·잡지) 기자·언론계
badge,신분증
venue,장소
apologetic,미안해하는
succinct,간단명료한·간결한
for free,무료로
stem cell,줄기세포
breakthrough,발전·돌파구
repetition,반복
earn,받다·얻다
release,공개하다·발표하다
remind,상기시키다
hard-to-find,구하기 어려운
continuity,지속성
refurbishment,재단장
temporarily,일시적으로
rest assured,안심하다·믿어도 된다
install,설치하다
register,등록하다
detect,찾아내다·감지하다
compatible,호환되는
instruction,지시·설명
manually,수동으로
modification,변경·수정
component,구성 요소
reset,재설정하다
shortlist,최종 후보자 명단에 올리다
forthcoming,곧 올·다가오는
confirm,확인하다
gratitude,감사
undisclosed,밝혀지지 않은·드러나지 않은
shortfall,부족
sign in,~에 서명하고 들어가다
sponsor,후원하다
mechanical,기계의
overcrowding,혼잡·과밀
appliance,기기
prospective,예비의·미래의
recommend,추천하다
efficient,효율적인
rank,평가하다·등급 매기다 / 등급·순위
a wide range of,다양한·광범위한
variety,다양성
passionate,열정적인
